TwoTheta,Counts,Starch
60.097,979,Tapioca
60.076,943,Tapioca
60.055,939,Tapioca
60.034,939,Tapioca
60.012,943,Tapioca
59.991,858,Tapioca
59.97,936,Tapioca
59.949,893,Tapioca
59.928,930,Tapioca
59.907,905,Tapioca
59.886,935,Tapioca
59.864,910,Tapioca
59.843,942,Tapioca
59.822,963,Tapioca
59.801,869,Tapioca
59.78,916,Tapioca
59.759,874,Tapioca
59.738,928,Tapioca
59.716,894,Tapioca
59.695,875,Tapioca
59.674,880,Tapioca
59.653,903,Tapioca
59.632,944,Tapioca
59.611,897,Tapioca
59.59,917,Tapioca
59.568,918,Tapioca
59.547,899,Tapioca
59.526,934,Tapioca
59.505,917,Tapioca
59.484,937,Tapioca
59.463,947,Tapioca
59.442,969,Tapioca
59.42,899,Tapioca
59.399,946,Tapioca
59.378,913,Tapioca
59.357,971,Tapioca
59.336,950,Tapioca
59.315,949,Tapioca
59.294,916,Tapioca
59.272,908,Tapioca
59.251,910,Tapioca
59.23,951,Tapioca
59.209,923,Tapioca
59.188,910,Tapioca
59.167,903,Tapioca
59.146,928,Tapioca
59.124,953,Tapioca
59.103,987,Tapioca
59.082,954,Tapioca
59.061,920,Tapioca
59.04,950,Tapioca
59.019,917,Tapioca
58.998,944,Tapioca
58.976,926,Tapioca
58.955,903,Tapioca
58.934,952,Tapioca
58.913,889,Tapioca
58.892,986,Tapioca
58.871,980,Tapioca
58.85,917,Tapioca
58.828,959,Tapioca
58.807,976,Tapioca
58.786,899,Tapioca
58.765,952,Tapioca
58.744,887,Tapioca
58.723,919,Tapioca
58.702,964,Tapioca
58.68,951,Tapioca
58.659,986,Tapioca
58.638,904,Tapioca
58.617,945,Tapioca
58.596,984,Tapioca
58.575,933,Tapioca
58.554,991,Tapioca
58.532,912,Tapioca
58.511,958,Tapioca
58.49,931,Tapioca
58.469,1008,Tapioca
58.448,979,Tapioca
58.427,983,Tapioca
58.406,970,Tapioca
58.384,991,Tapioca
58.363,997,Tapioca
58.342,958,Tapioca
58.321,894,Tapioca
58.3,932,Tapioca
58.279,931,Tapioca
58.258,985,Tapioca
58.236,962,Tapioca
58.215,942,Tapioca
58.194,948,Tapioca
58.173,964,Tapioca
58.152,984,Tapioca
