Created as New Dataset,Sample 007 By iruser Date Tuesday, March 24 2026
cm-1,%T
4200.00,99.09
4199.00,99.09
4198.00,99.09
4197.00,99.09
4196.00,99.09
4195.00,99.09
4194.00,99.09
4193.00,99.09
4192.00,99.09
4191.00,99.10
4190.00,99.10
4189.00,99.10
4188.00,99.10
4187.00,99.09
4186.00,99.08
4185.00,99.07
4184.00,99.06
4183.00,99.06
4182.00,99.06
4181.00,99.06
4180.00,99.06
4179.00,99.07
4178.00,99.07
4177.00,99.08
4176.00,99.08
4175.00,99.09
4174.00,99.08
4173.00,99.08
4172.00,99.08
4171.00,99.08
4170.00,99.08
4169.00,99.08
4168.00,99.08
4167.00,99.08
4166.00,99.07
4165.00,99.07
4164.00,99.06
4163.00,99.05
4162.00,99.05
4161.00,99.05
4160.00,99.05
4159.00,99.05
4158.00,99.06
4157.00,99.06
4156.00,99.07
4155.00,99.07
4154.00,99.07
4153.00,99.06
4152.00,99.06
4151.00,99.06
4150.00,99.06
4149.00,99.06
4148.00,99.06
4147.00,99.06
4146.00,99.06
4145.00,99.06
4144.00,99.06
4143.00,99.06
4142.00,99.06
4141.00,99.06
4140.00,99.06
4139.00,99.05
4138.00,99.04
4137.00,99.04
4136.00,99.03
4135.00,99.03
4134.00,99.04
4133.00,99.04
4132.00,99.04
4131.00,99.05
4130.00,99.05
4129.00,99.05
4128.00,99.05
4127.00,99.05
4126.00,99.04
4125.00,99.04
4124.00,99.04
4123.00,99.03
4122.00,99.03
4121.00,99.02
4120.00,99.02
4119.00,99.02
4118.00,99.03
4117.00,99.03
4116.00,99.02
4115.00,99.02
4114.00,99.02
4113.00,99.02
4112.00,99.03
4111.00,99.03
4110.00,99.02
4109.00,99.02
4108.00,99.01
4107.00,99.00
4106.00,99.00
4105.00,98.99
4104.00,98.99
4103.00,98.99
4102.00,98.99
4101.00,99.00
4100.00,99.00
4099.00,99.00
4098.00,98.99
4097.00,98.98
4096.00,98.97
4095.00,98.97
4094.00,98.97
4093.00,98.97
4092.00,98.97
4091.00,98.97
4090.00,98.97
4089.00,98.97
4088.00,98.97
4087.00,98.98
4086.00,98.98
4085.00,98.98
4084.00,98.98
4083.00,98.98
4082.00,98.97
4081.00,98.97
4080.00,98.97
4079.00,98.98
4078.00,98.98
4077.00,98.97
4076.00,98.97
4075.00,98.96
4074.00,98.96
4073.00,98.95
4072.00,98.95
4071.00,98.95
4070.00,98.94
4069.00,98.94
4068.00,98.94
4067.00,98.94
4066.00,98.94
4065.00,98.94
4064.00,98.94
4063.00,98.93
4062.00,98.92
4061.00,98.92
4060.00,98.91
4059.00,98.91
4058.00,98.91
4057.00,98.90
4056.00,98.90
4055.00,98.90
4054.00,98.90
4053.00,98.90
4052.00,98.90
4051.00,98.90
4050.00,98.90
4049.00,98.89
4048.00,98.89
4047.00,98.89
4046.00,98.89
4045.00,98.89
4044.00,98.89
4043.00,98.89
4042.00,98.88
4041.00,98.88
4040.00,98.87
4039.00,98.87
4038.00,98.88
4037.00,98.88
4036.00,98.88
4035.00,98.87
4034.00,98.87
4033.00,98.86
4032.00,98.86
4031.00,98.86
4030.00,98.86
4029.00,98.86
4028.00,98.85
4027.00,98.85
4026.00,98.85
4025.00,98.85
4024.00,98.85
4023.00,98.85
4022.00,98.84
4021.00,98.84
4020.00,98.84
4019.00,98.84
4018.00,98.85
4017.00,98.85
4016.00,98.85
4015.00,98.85
4014.00,98.85
4013.00,98.85
4012.00,98.85
4011.00,98.86
4010.00,98.86
4009.00,98.86
4008.00,98.86
4007.00,98.85
4006.00,98.84
4005.00,98.84
4004.00,98.84
4003.00,98.84
4002.00,98.84
4001.00,98.84
4000.00,98.84
3999.00,98.84
3998.00,98.84
3997.00,98.84
3996.00,98.84
3995.00,98.84
3994.00,98.84
3993.00,98.84
3992.00,98.85
3991.00,98.85
3990.00,98.86
3989.00,98.86
3988.00,98.86
3987.00,98.87
3986.00,98.87
3985.00,98.87
3984.00,98.87
3983.00,98.87
3982.00,98.87
3981.00,98.87
3980.00,98.87
3979.00,98.87
3978.00,98.86
3977.00,98.86
3976.00,98.86
3975.00,98.86
3974.00,98.87
3973.00,98.87
3972.00,98.88
3971.00,98.88
3970.00,98.88
3969.00,98.89
3968.00,98.89
3967.00,98.90
3966.00,98.90
3965.00,98.90
3964.00,98.90
3963.00,98.90
3962.00,98.91
3961.00,98.92
3960.00,98.92
3959.00,98.92
3958.00,98.92
3957.00,98.92
3956.00,98.91
3955.00,98.91
3954.00,98.91
3953.00,98.91
3952.00,98.92
3951.00,98.92
3950.00,98.92
3949.00,98.92
3948.00,98.93
3947.00,98.93
3946.00,98.93
3945.00,98.93
3944.00,98.93
3943.00,98.93
3942.00,98.93
3941.00,98.93
3940.00,98.93
3939.00,98.94
3938.00,98.94
3937.00,98.95
3936.00,98.95
3935.00,98.96
3934.00,98.96
3933.00,98.96
3932.00,98.96
3931.00,98.95
3930.00,98.94
3929.00,98.94
3928.00,98.94
3927.00,98.95
3926.00,98.96
3925.00,98.96
3924.00,98.97
3923.00,98.97
3922.00,98.97
3921.00,98.98
3920.00,98.98
3919.00,98.98
3918.00,98.98
3917.00,98.98
3916.00,98.98
3915.00,98.98
3914.00,98.98
3913.00,98.98
3912.00,98.98
3911.00,98.99
3910.00,98.99
3909.00,98.99
3908.00,98.99
3907.00,99.00
3906.00,99.00
3905.00,99.01
3904.00,99.01
3903.00,99.01
3902.00,99.01
3901.00,99.02
3900.00,99.02
3899.00,99.02
3898.00,99.02
3897.00,99.03
3896.00,99.03
3895.00,99.03
3894.00,99.03
3893.00,99.03
3892.00,99.03
3891.00,99.03
3890.00,99.03
3889.00,99.04
3888.00,99.05
3887.00,99.06
3886.00,99.06
3885.00,99.05
3884.00,99.05
3883.00,99.05
3882.00,99.05
3881.00,99.06
3880.00,99.06
3879.00,99.06
3878.00,99.07
3877.00,99.07
3876.00,99.07
3875.00,99.06
3874.00,99.06
3873.00,99.06
3872.00,99.06
3871.00,99.06
3870.00,99.06
3869.00,99.05
3868.00,99.05
3867.00,99.05
3866.00,99.06
3865.00,99.07
3864.00,99.07
3863.00,99.07
3862.00,99.07
3861.00,99.07
3860.00,99.08
3859.00,99.07
3858.00,99.06
3857.00,99.05
3856.00,99.04
3855.00,99.04
3854.00,99.05
3853.00,99.06
3852.00,99.07
3851.00,99.07
3850.00,99.08
3849.00,99.09
3848.00,99.09
3847.00,99.10
3846.00,99.10
3845.00,99.10
3844.00,99.10
3843.00,99.09
3842.00,99.08
3841.00,99.08
3840.00,99.08
3839.00,99.08
3838.00,99.07
3837.00,99.07
3836.00,99.07
3835.00,99.07
3834.00,99.07
3833.00,99.07
3832.00,99.07
3831.00,99.07
3830.00,99.08
3829.00,99.08
3828.00,99.08
3827.00,99.08
3826.00,99.08
3825.00,99.08
3824.00,99.08
3823.00,99.08
3822.00,99.08
3821.00,99.08
3820.00,99.08
3819.00,99.08
3818.00,99.08
3817.00,99.09
3816.00,99.09
3815.00,99.09
3814.00,99.09
3813.00,99.10
3812.00,99.10
3811.00,99.09
3810.00,99.09
3809.00,99.09
3808.00,99.09
3807.00,99.09
3806.00,99.09
3805.00,99.10
3804.00,99.09
3803.00,99.09
3802.00,99.08
3801.00,99.08
3800.00,99.07
3799.00,99.08
3798.00,99.09
3797.00,99.09
3796.00,99.10
3795.00,99.10
3794.00,99.10
3793.00,99.09
3792.00,99.09
3791.00,99.09
3790.00,99.08
3789.00,99.08
3788.00,99.08
3787.00,99.07
3786.00,99.07
3785.00,99.07
3784.00,99.07
3783.00,99.07
3782.00,99.08
3781.00,99.09
3780.00,99.09
3779.00,99.08
3778.00,99.07
3777.00,99.07
3776.00,99.06
3775.00,99.06
3774.00,99.07
3773.00,99.07
3772.00,99.08
3771.00,99.07
3770.00,99.07
3769.00,99.06
3768.00,99.06
3767.00,99.06
3766.00,99.06
3765.00,99.06
3764.00,99.06
3763.00,99.06
3762.00,99.07
3761.00,99.06
3760.00,99.06
3759.00,99.06
3758.00,99.05
3757.00,99.05
3756.00,99.05
3755.00,99.05
3754.00,99.05
3753.00,99.06
3752.00,99.06
3751.00,99.05
3750.00,99.05
3749.00,99.05
3748.00,99.04
3747.00,99.03
3746.00,99.02
3745.00,99.01
3744.00,99.02
3743.00,99.03
3742.00,99.04
3741.00,99.04
3740.00,99.04
3739.00,99.03
3738.00,99.03
3737.00,99.03
3736.00,99.04
3735.00,99.04
3734.00,99.04
3733.00,99.02
3732.00,99.00
3731.00,98.99
3730.00,98.98
3729.00,98.98
3728.00,98.99
3727.00,98.99
3726.00,99.00
3725.00,99.00
3724.00,98.99
3723.00,98.98
3722.00,98.97
3721.00,98.95
3720.00,98.95
3719.00,98.95
3718.00,98.94
3717.00,98.94
3716.00,98.94
3715.00,98.93
3714.00,98.92
3713.00,98.92
3712.00,98.91
3711.00,98.90
3710.00,98.89
3709.00,98.89
3708.00,98.88
3707.00,98.87
3706.00,98.86
3705.00,98.86
3704.00,98.85
3703.00,98.84
3702.00,98.83
3701.00,98.82
3700.00,98.80
3699.00,98.79
3698.00,98.78
3697.00,98.76
3696.00,98.75
3695.00,98.74
3694.00,98.72
3693.00,98.71
3692.00,98.69
3691.00,98.67
3690.00,98.65
3689.00,98.62
3688.00,98.60
3687.00,98.58
3686.00,98.56
3685.00,98.54
3684.00,98.52
3683.00,98.50
3682.00,98.48
3681.00,98.46
3680.00,98.44
3679.00,98.41
3678.00,98.38
3677.00,98.34
3676.00,98.29
3675.00,98.24
3674.00,98.20
3673.00,98.17
3672.00,98.14
3671.00,98.09
3670.00,98.04
3669.00,97.99
3668.00,97.95
3667.00,97.91
3666.00,97.87
3665.00,97.82
3664.00,97.76
3663.00,97.71
3662.00,97.65
3661.00,97.60
3660.00,97.54
3659.00,97.48
3658.00,97.42
3657.00,97.36
3656.00,97.29
3655.00,97.23
3654.00,97.17
3653.00,97.12
3652.00,97.06
3651.00,96.99
3650.00,96.90
3649.00,96.80
3648.00,96.70
3647.00,96.61
3646.00,96.53
3645.00,96.46
3644.00,96.39
3643.00,96.31
3642.00,96.22
3641.00,96.13
3640.00,96.04
3639.00,95.95
3638.00,95.87
3637.00,95.78
3636.00,95.70
3635.00,95.61
3634.00,95.51
3633.00,95.42
3632.00,95.33
3631.00,95.22
3630.00,95.10
3629.00,94.97
3628.00,94.86
3627.00,94.76
3626.00,94.67
3625.00,94.58
3624.00,94.49
3623.00,94.39
3622.00,94.28
3621.00,94.17
3620.00,94.04
3619.00,93.91
3618.00,93.80
3617.00,93.69
3616.00,93.59
3615.00,93.48
3614.00,93.36
3613.00,93.23
3612.00,93.11
3611.00,93.00
3610.00,92.87
3609.00,92.73
3608.00,92.59
3607.00,92.45
3606.00,92.32
3605.00,92.21
3604.00,92.09
3603.00,91.96
3602.00,91.83
3601.00,91.69
3600.00,91.55
3599.00,91.41
3598.00,91.28
3597.00,91.14
3596.00,90.99
3595.00,90.83
3594.00,90.67
3593.00,90.53
3592.00,90.40
3591.00,90.27
3590.00,90.13
3589.00,89.97
3588.00,89.78
3587.00,89.60
3586.00,89.42
3585.00,89.27
3584.00,89.12
3583.00,88.97
3582.00,88.82
3581.00,88.66
3580.00,88.50
3579.00,88.33
3578.00,88.17
3577.00,88.00
3576.00,87.83
3575.00,87.66
3574.00,87.49
3573.00,87.32
3572.00,87.16
3571.00,87.01
3570.00,86.86
3569.00,86.69
3568.00,86.49
3567.00,86.29
3566.00,86.09
3565.00,85.91
3564.00,85.73
3563.00,85.56
3562.00,85.39
3561.00,85.21
3560.00,85.03
3559.00,84.85
3558.00,84.67
3557.00,84.50
3556.00,84.32
3555.00,84.14
3554.00,83.94
3553.00,83.75
3552.00,83.55
3551.00,83.37
3550.00,83.19
3549.00,83.01
3548.00,82.83
3547.00,82.63
3546.00,82.43
3545.00,82.22
3544.00,82.03
3543.00,81.84
3542.00,81.66
3541.00,81.47
3540.00,81.29
3539.00,81.10
3538.00,80.90
3537.00,80.71
3536.00,80.52
3535.00,80.33
3534.00,80.14
3533.00,79.96
3532.00,79.77
3531.00,79.58
3530.00,79.38
3529.00,79.19
3528.00,79.00
3527.00,78.81
3526.00,78.62
3525.00,78.42
3524.00,78.22
3523.00,78.02
3522.00,77.82
3521.00,77.62
3520.00,77.43
3519.00,77.23
3518.00,77.04
3517.00,76.85
3516.00,76.66
3515.00,76.47
3514.00,76.28
3513.00,76.09
3512.00,75.91
3511.00,75.72
3510.00,75.52
3509.00,75.32
3508.00,75.13
3507.00,74.94
3506.00,74.76
3505.00,74.56
3504.00,74.36
3503.00,74.17
3502.00,73.97
3501.00,73.79
3500.00,73.61
3499.00,73.42
3498.00,73.24
3497.00,73.05
3496.00,72.86
3495.00,72.67
3494.00,72.48
3493.00,72.29
3492.00,72.10
3491.00,71.91
3490.00,71.73
3489.00,71.55
3488.00,71.36
3487.00,71.17
3486.00,70.99
3485.00,70.81
3484.00,70.62
3483.00,70.44
3482.00,70.24
3481.00,70.05
3480.00,69.87
3479.00,69.69
3478.00,69.51
