Sample,delta,IR,
Oil1,-27.20,d13C,
Oil2,-29.10,d13C,
Oil 1,-152.64,d2H,
Oil2,-142.57,d2H,
Oil 1,20.92,d18O,
Oil2,20.28,d18O,
